DATE,SOLD TO,MONTH,PO,PRETTURE ORDER,STYLE CODE,COL,SIZE,BARCODE,PRICE,DOD,SALE MEDIUM,SALE POINTER,COLLECTION,SILHOUETTE,PRICE RANGE
15-May-23,PERNIA MUMBAI,May-22,471904,,VSS366,PEARL,XS,,8975,31-May-23,PERNIA,CORPORATE ONLINE,SS23,DRESS,8-10K
15-May-23,MONSOON,May-22,LIVLEEN,,VSS355,IVORY,S,,12525,05-Jun-23,MONSOON,CORPORATE OFFLINE,SS23,KURTA,12-14K
15-May-23,RAAYA,May-22,TWINKLE,,VSS41,PLUM,L,,14675,31-May-23,RAAYA,CORPORATE OFFLINE,FESTIVE 20,ANARKALI,14-16K
15-May-23,ANANTAM GURUGRAM,May-22,CH5249KAI,,OSV1133,BLUSH PINK,M,OS22491,12705,26-May-23,ANANTAM GURUGRAM,CORPORATE OFFLINE,SS20,KURTA,12-14K
15-May-23,ANANTAM GURUGRAM,May-22,CH5249KAI,,VSS228,TUSCANY,M,OS23193,12745,26-May-23,ANANTAM GURUGRAM,CORPORATE OFFLINE,SS22,KURTA,12-14K
16-May-23,AZA ONLINE KOLKATA,May-22,235112,,VSS332,RUE,S,,8455,05-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,DRESS,8-10K
16-May-23,PERNIA MUMBAI,May-22,472411,,VSS3,CAMELLIA,S,,12995,01-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
16-May-23,AZA ONLINE KOLKATA,May-22,234986,,VSS287,IRIS,XL,,8575,05-Jun-23,AZA ONLINE,CORPORATE ONLINE,PRE FESTIVE 22,DRESS,8-10K
16-May-23,AZA ONLINE KOLKATA,May-22,234961,,VSS324,ONYX,XL,,8295,05-Jun-23,AZA ONLINE,CORPORATE ONLINE,FESTIVE 22,DRESS,8-10K
16-May-23,MONSOON,May-22,KRINABEN,,VSS349,HIBISCUS,MTM,,9975,25-May-23,MONSOON,CORPORATE OFFLINE,SS23,JACKET DRESS,8-10K
17-May-23,AASHNI + CO,May-22,PO/RIC/2098,,VSS205,PORCELAIN,S,,8765,02-Jun-23,AASHNI + CO,CORPORATE ONLINE,SS22,DRESS,8-10K
17-May-23,PERNIA,May-22,235287,,VSS228,MUSTARD YELLOW,L,,12745,06-Jun-23,PERNIA,CORPORATE ONLINE,SS22,KURTA,12-14K
17-May-23,PERNIA,May-22,472978,,VSS346,BLUSH,M,,13985,03-Jun-23,PERNIA,CORPORATE ONLINE,SS23,KURTA,12-14K
18-May-23,PERNIA,May-22,473338,,OSV1133,BLUSH PINK,M,OS23313,12705,03-Jun-23,PERNIA,CORPORATE ONLINE,SS20,KURTA,12-14K
18-May-23,OGAAN ONLINE,May-22,109902,,VSS155,POPPY,XL,OS15967,12995,27-May-23,OGAAN ONLINE,CORPORATE ONLINE,FESTIVE 21,KURTA,12-14K
19-May-23,OGAAN ONLINE,May-22,105798,,VSS321,INDIGO,S,OS22196,13545,20-May-23,OGAAN ONLINE,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
20-May-23,PERNIA,May-22,474194,,VSS191,PORCELAIN,M,,11595,05-Jun-23,PERNIA,CORPORATE ONLINE,SS22,KURTA,12-14K
20-May-23,PERNIA,May-22,474078,,VSS3,SAPPHIRE,XS,OS23396,12995,05-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 20,KURTA,12-14K
22-May-23,AZA ONLINE KOLKATA,May-22,237042,,VSS362,RUE,M,,10475,11-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,CO-ORD,10-12K
22-May-23,AZA ONLINE KOLKATA,May-22,236747,,VSS356,SKY,M,,9975,11-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,CO-ORD,8-10K
22-May-23,PERNIA MUMBAI,May-22,474609,,VSS3,SAPPHIRE,S,OS22573,12995,06-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
22-May-23,EVOLUZIONE CHENNAI,May-22,SINDHU CHARLES ORDER NO 14966,,VSS346,HIBISCUS,XL,,13985,05-Jun-23,EVO CHENNAI,CORPORATE OFFLINE,SS23,KURTA,12-14K
22-May-23,COLLAGE,May-22,Ms Shobhna Ramachandran,,VSS350,GREY,L,,13985,12-Jun-23,COLLAGE CHENNAI,CORPORATE OFFLINE,SS23,KURTA,12-14K
22-May-23,COLLAGE,May-22,Ms Shobhna Ramachandran,,VSS359,HIBISCUS,L,,12795,12-Jun-23,COLLAGE CHENNAI,CORPORATE OFFLINE,SS23,KURTA,12-14K
22-May-23,COLLAGE,May-22,Ms Shobhna Ramachandran,,VSS352,SAND,L,,"12,985",12-Jun-23,COLLAGE CHENNAI,CORPORATE OFFLINE,SS23,KURTA,12-14K
22-May-23,COLLAGE,May-22,Ms_Sneha,,VSS359,HIBISCUS,L,,12795,11-Jun-23,COLLAGE CHENNAI,CORPORATE OFFLINE,SS23,KURTA,12-14K
22-May-23,ANANTAM SOUTH EX,May-22,ADV-62,,OSV1133,BLUSH PINK,L,OS22489,12705,30-May-23,ANANTAM SOUTH EX,CORPORATE OFFLINE,SS20,KURTA,12-14K
24-May-23,OGAAN ONLINE,May-22,110436,,VSS202,LIME AND ASH,L,OS22478,13745,12-Jun-23,OGAAN ONLINE,CORPORATE ONLINE,SS22,KURTA,12-14K
24-May-23,OGAAN ONLINE,May-22,110435,,VSS359,HIBISCUS,M,,12795,13-Jun-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
24-May-23,PERNIA MUMBAI,May-22,476188,,VSS197,PORCELAIN,MTM,,13985,09-Jun-23,PERNIA,CORPORATE ONLINE,SS22,KURTA,12-14K
24-May-23,AGASHE LLP,May-22,Aditi Chopra,,VSS328,PEARL,S,,12285,12-Jun-23,AGASHE,CORPORATE OFFLINE,SS23,KURTA,12-14K
24-May-23,DEVAL,May-22,MS. SASHI AGARWAL,,VSS332,RUE,M,,8455,14-Jun-23,DEVAL,CORPORATE OFFLINE,SS23,DRESS,8-10K
25-May-23,AZA ONLINE,May-22,237860,,VSS202,LIME AND ASH,XS,OS22461,13745,12-Jun-23,OGAAN ONLINE,CORPORATE ONLINE,SS22,KURTA,12-14K
25-May-23,PERNIA,May-22,476689,,VSS28,SAPPHIRE,M,,8995,10-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 20,CO-ORD,8-10K
25-May-23,MONSOON,May-22,Heena Mam,,VSS338,SAND,L,OS22384,9485,31-May-23,MONSOON,CORPORATE OFFLINE,SS23,CO-ORD,8-10K
26-May-23,OGAAN ONLINE,May-22,110582,,VSS350,SAND,S,,13985,14-Jun-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
